resource_const,action_class,action_const,superclass,auth,auth_effective,classification,http_method,blocking,route,file,line_start,line_end
VpsAdmin::API::Resources::Dataset,Show,VpsAdmin::API::Resources::Dataset::Show,HaveAPI::Actions::Default::Show,,True,owner_or_admin,,,,api/lib/vpsadmin/api/resources/dataset.rb,135,157
VpsAdmin::API::Resources::Dataset,Update,VpsAdmin::API::Resources::Dataset::Update,HaveAPI::Actions::Default::Update,,True,owner_or_admin,,True,,api/lib/vpsadmin/api/resources/dataset.rb,224,268
VpsAdmin::API::Resources::Dataset::Plan,Create,VpsAdmin::API::Resources::Dataset::Plan::Create,HaveAPI::Actions::Default::Create,,True,authenticated,,,,api/lib/vpsadmin/api/resources/dataset.rb,744,768
VpsAdmin::API::Resources::Dataset::Plan,Delete,VpsAdmin::API::Resources::Dataset::Plan::Delete,HaveAPI::Actions::Default::Delete,,True,authenticated,,,,api/lib/vpsadmin/api/resources/dataset.rb,770,792
VpsAdmin::API::Resources::Dataset::Plan,Index,VpsAdmin::API::Resources::Dataset::Plan::Index,HaveAPI::Actions::Default::Index,,True,authenticated,,,,api/lib/vpsadmin/api/resources/dataset.rb,693,718
VpsAdmin::API::Resources::Dataset::Plan,Show,VpsAdmin::API::Resources::Dataset::Plan::Show,HaveAPI::Actions::Default::Show,,True,authenticated,,,,api/lib/vpsadmin/api/resources/dataset.rb,720,742
VpsAdmin::API::Resources::Dataset::PropertyHistory,Index,VpsAdmin::API::Resources::Dataset::PropertyHistory::Index,HaveAPI::Actions::Default::Index,,True,authenticated,,,,api/lib/vpsadmin/api/resources/dataset.rb,807,846
VpsAdmin::API::Resources::Dataset::PropertyHistory,Show,VpsAdmin::API::Resources::Dataset::PropertyHistory::Show,HaveAPI::Actions::Default::Show,,True,authenticated,,,,api/lib/vpsadmin/api/resources/dataset.rb,848,870
VpsAdmin::API::Resources::Dataset::Snapshot,Create,VpsAdmin::API::Resources::Dataset::Snapshot::Create,HaveAPI::Actions::Default::Create,,True,owner_or_admin,,True,,api/lib/vpsadmin/api/resources/dataset.rb,530,571
VpsAdmin::API::Resources::Dataset::Snapshot,Delete,VpsAdmin::API::Resources::Dataset::Snapshot::Delete,HaveAPI::Actions::Default::Delete,,True,owner_or_admin,,True,,api/lib/vpsadmin/api/resources/dataset.rb,573,607
